"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"OVE ARUP & PARTNERS INTERNATIONAL LIMITED","13 Fitzroy Street, London, W1T 4BQ","00952468","71122","17.3","18.0","40.3","30.4","89.0","86.0","51.5","48.5","57.1","42.9","67.1","32.9","74.5","25.5","https://www.arup.com/perspectives/publications/research/section/gender-pay-gap-uk-report-2020","Dervilla Mitchell (Chair - UK, India, Middle East and Africa Region)","5000 to 19,999","OVE ARUP & PARTNERS INTERNATIONAL LIMITED","False","06/10/2021 00:00:00","08/03/2021 16:20:33"
"OWENS (ROAD SERVICES) LIMITED","Dafen Industrial Estate, Dafen, Llanelli, Dyfed, SA14 8QE","01301976","49410,
52103,
52219,
52290","	-19.0","	-8.0","","","0.0","0.0","93.3","6.7","96.3","3.7","95.1","4.9","86.4","13.6","https://owensgroup.uk/og/index.php","Robert Ian Owen (Operations Director)","500 to 999","OWENS (ROAD SERVICES) LIMITED","False","06/10/2021 00:00:00","05/03/2021 09:44:26"
"OXFORD BIOMEDICA (UK) LIMITED","Windrush Court, Transport Way, Oxford, OX4 6LT","03028927","72110","18.0","6.8","67.6","15.0","21.8","21.2","39.9","60.1","47.5","52.5","54.0","46.0","50.4","49.6","https://www.oxb.com/","Stuart Paynter (CFO)","500 to 999","OXFORD BIOMEDICA (UK) LIMITED","False","06/10/2021 00:00:00","19/02/2021 14:51:41"
"OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED","Tubney Woods, Abingdon, Oxon, OX13 5QX","00704320","26511","11.1","17.7","24.0","35.1","77.2","74.3","72.5","27.5","76.5","23.5","82.4","17.6","87.2","12.8","https://www.oxinst.com/corporate-content/gender-pay-report","Vicki Potter (Group HR Director)","500 to 999","OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED","False","06/10/2021 00:00:00","19/08/2020 09:03:13"
"Oxfordshire County Council","County Hall, New Road, Oxford, Oxfordshire, United Kingdom, OX1 1ND","","1,
84110","3.2","1.1","","","0.0","0.0","30.3","69.7","34.8","65.2","35.8","64.2","34.1","65.9","","","5000 to 19,999","Oxfordshire County Council","False","06/10/2021 00:00:00","11/02/2021 15:35:53"
"P.H. JONES FACILITIES MANAGEMENT LTD","Millstream, Maidenhead Road, Windsor, Berkshire, SL4 5GD","01606880","43210","37.5","41.4","74.7","75.7","55.6","83.9","44.2","55.8","93.3","6.7","97.5","2.5","95.8","4.2","https://www.centrica.com/sustainability/performance-reporting/gender-and-ethnicity-pay-statement/","Chris O'Shea (CEO)","500 to 999","P.H. JONES FACILITIES MANAGEMENT LTD","False","06/10/2021 00:00:00","02/03/2021 11:00:29"
"PARADIGM PRECISION BURNLEY LTD","1 Bentley Wood Way, Network 65 Business Park, Hapton, Burnley, Lancashire, BB11 5TG","05137829","26110,
84220","6.2","11.0","	-155.2","	-1.1","87.5","75.0","89.1","10.9","87.7","12.3","96.9","3.1","95.4","4.6","https://paradigmprecision.com/other/","Nicky Wright (HR Director)","250 to 499","PARADIGM PRECISION BURNLEY LTD","False","06/10/2021 00:00:00","02/02/2021 09:55:25"
"PARADIGM TRUST","Culloden Primary School, Dee Street, London, E14 0PT","08469218","85200,
85310","28.6","39.4","100","100","1.3","0","12.6","87.4","8.7","91.3","18.5","81.5","34.3","65.7","https://paradigmtrust.org/wp-content/uploads/2020/04/Gender-pay-gap-statement-data-capture-date-March-2020.pdf","","250 to 499","PARADIGM TRUST","False","06/10/2021 00:00:00","03/03/2021 15:00:18"
"PATERSON PERSONNEL LTD","6 Cholswell Court, Shippon, Abingdon, Oxon, United Kingdom, OX13 6HX","11437948","78109","7.8","1.0","50.9","20.7","0.1","0.4","49.6","50.4","43.9","56.1","52.6","47.4","47.8","52.2","https://paterson-recruitment.co.uk
https://paterson-healthcare.co.uk","Joyce Sutton (Finance Director)","500 to 999","PATERSON PERSONNEL LTD","False","06/10/2021 00:00:00","10/03/2021 16:29:34"
"PAYSTREAM MY MAX 2 LIMITED","Mansion House, Manchester Road, Altrincham, Cheshire, WA14 4RW","06451955","78200","	-11.0","	-30.0","","","0.0","0.0","85.0","15.0","78.0","22.0","69.0","31.0","70.0","30.0","https://www.paystream.co.uk/media/3394/gender-pay-gap-report-2020.pdf","Andrew Cleal (Operations and Service Director)","1000 to 4999","PAYSTREAM MY MAX 2 LIMITED","False","06/10/2021 00:00:00","30/09/2020 14:14:01"
"PAYSTREAM MY MAX 3 LIMITED","Mansion House, Manchester Road, Altrincham, Cheshire, WA14 4RW","07708464","78200","12.0","20.0","","","0.0","0.0","73.0","27.0","60.0","40.0","77.0","23.0","73.0","27.0","https://www.paystream.co.uk/media/3394/gender-pay-gap-report-2020.pdf","Andrew Cleal (Operations and Service Director)","1000 to 4999","PAYSTREAM MY MAX 3 LIMITED","False","06/10/2021 00:00:00","30/09/2020 14:14:17"
"PAYSTREAM MY MAX LIMITED","Mansion House, Manchester Road, Altrincham, Greater Manchester, WA14 4RW","06042225","78200","15.0","8.0","","","0.0","0.0","64.0","36.0","57.0","43.0","57.0","43.0","72.0","28.0","https://www.paystream.co.uk/media/3394/gender-pay-gap-report-2020.pdf","Andrew Cleal (Operations and Service Director)","5000 to 19,999","PAYSTREAM MY MAX LIMITED","False","06/10/2021 00:00:00","30/09/2020 14:14:33"
"PEMBROKE COLLEGE CAMBRIDGE","Trumpington Street, Cambridge, CB2 1RF","RC000400","","25.7","17.4","43.0","66.7","39.6","60.4","21.7","78.3","53.3","46.7","45.0","55.0","63.3","36.7","https://www.pem.cam.ac.uk/college/about-pembroke/legal-information/gender-pay-gap-0","Andrew Enticknap (Finance Manager)","Less than 250","PEMBROKE COLLEGE CAMBRIDGE","False","06/10/2021 00:00:00","12/02/2021 12:44:12"
"PENGUIN BOOKS LIMITED","20 Vauxhall Bridge Road, London, England, SW1V 2SA","00861590","58110","23.2","13.5","52.3","14.8","93.8","90.1","11.1","88.9","26.3","73.7","24.9","75.1","33.2","66.8","https://www.penguin.co.uk/company/about-us/notices/gender-pay-gap-reports.html","Val Garside (HR Director)","500 to 999","PENGUIN BOOKS LIMITED","False","06/10/2021 00:00:00","04/11/2020 14:14:00"
"PEPSICO INTERNATIONAL LIMITED","Building 4 Chiswick Park, 566 Chiswick High Road, London, W4 5YE","01521219","96090","18.9","18.7","37.3","38.3","82.9","66.9","36.0","64.0","41.0","59.0","56.0","44.0","62.0","38.0","https://www.pepsico.co.uk/docs/librariesprovider22/gender-pay-gap/pepsico-uk-and-ireland-gender-pay-gap-report-2020.pdf?sfvrsn=bbd206b1_2","Dannii Portsmouth (Human Resources Vice President)","500 to 999","PEPSICO INTERNATIONAL LIMITED","False","06/10/2021 00:00:00","08/03/2021 13:51:59"
"PEREGRINE RETAIL LIMITED","Gladstone Place, 36-38 Upper Marlborough Road, St. Albans, Hertfordshire, England, AL1 3UU","03327423","47300","0.3","0","20.4","	-83.3","4.5","6.6","43.7","56.3","38.6","61.4","29.9","70.1","41.4","58.6","https://www.motorfuelgroup.com/","Carolyn Turner (HR Director)","250 to 499","PEREGRINE RETAIL LIMITED","False","06/10/2021 00:00:00","04/03/2021 17:40:49"
"PERRYS EAST MIDLANDS LIMITED","PERRYS, Suite 1, 500 Pavilion Drive, Brackmills, Northampton, England, NN4 7YJ","02086705","45111,
45112,
45200,
45320","41.1","36.7","72.3","40.5","84","79","50","50","33.3","66.7","50","50","80","20","https://www.perrys.co.uk/","Nicky Holdcroft (Group HR Director)","250 to 499","PERRYS EAST MIDLANDS LIMITED","False","06/10/2021 00:00:00","11/03/2021 10:10:35"
"PERRYS MOTOR SALES LIMITED","Suite 1, 500 Pavilion Drive Northampton, Business Park Brackmills, Northampton, NN4 7YJ","00972286","45111,
45112,
45200,
45320","23.0","24.5","43.2","54.8","79.8","52.2","36.7","63.3","53.3","46.7","60.0","40.0","69.0","31.0","https://www.perrys.co.uk/","Nicky Holdcroft (Group HR Director)","1000 to 4999","PERRYS MOTOR SALES LIMITED","False","06/10/2021 00:00:00","11/03/2021 10:08:34"
"PERSONA CARE AND SUPPORT LIMITED","Grundy, Wellington Road, Bury, Lancashire, BL9 9AH","09725580","87300,
88100","2.6","0.0","","","0.0","0.0","11.8","88.2","17.8","82.2","23.7","76.3","19.6","80.4","https://www.personasupport.org/quality-new/gender-pay-gap-reporting/","Kat Sowden (Managing Director)","250 to 499","PERSONA CARE AND SUPPORT LIMITED","False","06/10/2021 00:00:00","24/02/2021 07:46:19"
"PERTHYN","Vivian Court, Llys Felin Newydd, Phoenix Way, Swansea, SA7 9FG","03017158","81100,
82110,
87200","5.2","1.8","","","0.0","0.0","25.1","74.9","21.3","78.7","37.6","62.4","36.0","64.0","https://www.perthyn.org.uk/about/gender-pay-gap/","Stephen Cox (CEO)","500 to 999","PERTHYN","False","06/10/2021 00:00:00","26/02/2021 09:25:33"
"PHILIPS ELECTRONICS UK LIMITED","Ascent 1 Aerospace Boulevard, Farnborough, England, GU14 6XW","00446897","22290,
33200,
46439,
70100","12.8","18.2","14.7","10.8","55.1","31.8","56.0","44.0","61.0","39.0","74.0","26.0","70.0","30.0","https://www.philips.co.uk/a-w/about-philips/company-profile.html","Jonathan Coles (HR Director UK & Ireland)","1000 to 4999","PHILIPS ELECTRONICS UK LIMITED","False","06/10/2021 00:00:00","11/03/2021 14:14:24"
"PINNACLE FM LIMITED","21st Floor Euston Tower, 286 Euston Road, London, United Kingdom, NW1 3DP","01040529","82990","23.3","7.1","21.3","	-28","9.9","3.2","32.2","67.8","31.6","68.4","53.5","46.5","76.1","23.9","https://www.pinnaclegroup.co.uk/gender-pay-gap/","Andy Lee (Group HR Director)","500 to 999","PINNACLE FM LIMITED","False","06/10/2021 00:00:00","12/02/2021 14:12:32"
"PINNACLE HOUSING LIMITED","21st Floor Euston Tower, 286 Euston Road, London, United Kingdom, NW1 3DP","02246643","68320","5.4","2.2","	-3.5","	-9.1","12.5","9.0","47.7","52.3","48.8","51.2","69.7","30.3","69.2","30.8","https://www.pinnaclegroup.co.uk/gender-pay-gap/","Andy Lee (Group HR Director)","1000 to 4999","PINNACLE HOUSING LIMITED","False","06/10/2021 00:00:00","12/02/2021 14:12:14"
"PLACE UK LIMITED","Church Farm, Tunstead, Norwich, Norfolk, NR12 8RQ","04155171","1250,
1290,
10390,
46310","6.2","0.0","45.0","0.0","30.0","37.0","31.0","69.0","93.0","7.0","80.0","20.0","75.0","25.0","https://placeuk.com/about-us/literature/","Emily Chenery (Head of HR)","250 to 499","PLACE UK LIMITED","False","06/10/2021 00:00:00","20/01/2021 08:27:45"
"Plumpton College","Ditchling Road, Plumpton, East Sussex, BN7 3AE","","1,
85310","13.2","4.9","","","0.0","0.0","33.0","67.0","42.0","58.0","37.0","63.0","51.0","49.0","https://www.plumpton.ac.uk/who-we-are/governance-policies/freedom-of-information/","","250 to 499","Plumpton College","False","06/10/2021 00:00:00","24/02/2021 08:34:44"
"PM CENTRAL SERVICES PLC","55 Gracechurch Street, London, United Kingdom, EC3V 0RL","08752809","82110,
82990","36.6","38.0","68.9","61.3","85.0","81.9","13.9","86.1","27.1","72.9","44.9","55.1","57.0","43.0","","Georgina Bale (Head of HR)","250 to 499","PM CENTRAL SERVICES PLC","False","06/10/2021 00:00:00","17/08/2020 08:28:22"
"POBL CARE AND SUPPORT LIMITED","The old Post Office, Exchange House, Newport, wales, United Kingdom, NP201AA","IP24054R","","6.0","0.0","","","0.0","0.0","10.6","89.4","31.3","68.7","14.3","85.7","23.7","76.3","https://www.poblgroup.co.uk/how-we-are-doing/gender-pay-gap-report/","Gaynor Morris (Executive Director Organisational Development)","1000 to 4999","POBL CARE AND SUPPORT LIMITED","False","06/10/2021 00:00:00","18/08/2020 10:09:39"
"POBL GROUP LIMITED","EXCHANGE HOUSE, THE OLD POST OFFICE, HIGH STREET, HIGH STREET, NEWPORT, United Kingdom, NP20 1AA","IP29682R","","15.5","14.7","","","0.0","0.0","18.5","81.5","18.8","81.2","36.2","63.8","39.0","61.0","https://www.poblgroup.co.uk/how-we-are-doing/gender-pay-gap-report/","Gaynor Morris (Executive Director Organisational Development)","1000 to 4999","POBL GROUP LIMITED","False","06/10/2021 00:00:00","18/08/2020 13:36:08"
"Portsmouth City Council","Floor 1, Core 5, Civic Offices, Portsmouth, Hampshire, United Kingdom, PO1 2AL","","1,
84110","11.0","9.3","14.7","0.5","3.3","2.8","24.0","76.0","24.0","76.0","29.0","71.0","36.0","64.0","","","5000 to 19,999","Portsmouth City Council","False","06/10/2021 00:00:00","04/03/2021 13:09:00"
"PORTSMOUTH WATER LIMITED","PO BOX No8, West Street, Havant, Hampshire, PO9 1LG","02536455","36000","19.0","10.9","20.6","25.2","90.0","90.0","43.0","57.0","64.0","36.0","73.0","27.0","74.0","26.0","","Ian Limb (Head of HR)","250 to 499","PORTSMOUTH WATER LIMITED","False","06/10/2021 00:00:00","28/10/2020 14:15:03"
"PRAXAIR SURFACE TECHNOLOGIES LIMITED","Drakes Way,, Swindon,, Wiltshire,, SN3 3HX","02416734","25610","11.5","11.7","56.0","	-1.0","25.0","12.0","70.0","30.0","80.0","20.0","84.0","16.0","85.0","15.0","","Richard Ward (Director)","250 to 499","PRAXAIR SURFACE TECHNOLOGIES LIMITED","False","06/10/2021 00:00:00","08/02/2021 13:32:04"
"PREMIER FOODS GROUP LIMITED","Premier House, Centrium Business Park, Griffiths Way, St. Albans, Hertfordshire, AL1 2RE","00281728","10611,
10710,
10730,
10890","9.0","4.0","25.0","48.0","28.0","25.0","53.0","47.0","76.0","24.0","64.0","36.0","74.0","26.0","https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/gender_pay/Premier-Foods-Gender-Pay-Gap-Report-2020.pdf","David Wilkinson (HR & Communications Director)","1000 to 4999","PREMIER FOODS GROUP LIMITED","False","06/10/2021 00:00:00","10/02/2021 10:45:35"
"PRICE BAILEY LLP","Causeway House, Dane Street, Bishops Stortford, Hertfordshire, CM23 3BT","OC307551","","13.9","21.4","	-61.6","0.0","23.3","12.6","32.5","67.5","42.2","57.8","45.8","54.2","61.4","38.6","https://www.pricebailey.co.uk/careers-2/gender-pay-gap-reports/","Martin Clapson (Managing Director)","250 to 499","PRICE BAILEY LLP","False","06/10/2021 00:00:00","05/01/2021 09:01:33"
"PRICEWATERHOUSECOOPERS LLP","1 Embankment Place, London, WC2N 6RH","OC303525","","30.9","31.3","47.4","51.0","100.0","99.8","11.6","88.4","40.9","59.1","48.5","51.5","59.5","40.5","https://www.pwc.co.uk/who-we-are/our-purpose/empowered-people-communities/inclusion/diversity-pay-report.html","Kevin Ellis (PwC UK Chairman and Senior Partner)","1000 to 4999","PRICEWATERHOUSECOOPERS LLP","False","06/10/2021 00:00:00","18/02/2021 15:10:39"
"PRICEWATERHOUSECOOPERS SERVICES LIMITED","1 Embankment Place, London, WC2N 6RH","00728502","82990","10.4","7.9","25.7","13.9","96.2","97.2","51.9","48.1","51.0","49.0","51.5","48.5","60.4","39.6","https://www.pwc.co.uk/who-we-are/our-purpose/empowered-people-communities/inclusion/diversity-pay-report.html","Kevin Ellis (PwC UK Chairman and Senior Partner)","5000 to 19,999","PRICEWATERHOUSECOOPERS SERVICES LIMITED","False","06/10/2021 00:00:00","18/02/2021 15:13:41"
"Principality Building Society","Principality House PO BOX 89, Queen Street, Cardiff, CF10 1UA","","64192","30.5","30.0","36.0","33.4","92.6","95.1","20.4","79.6","32.8","67.2","50.6","49.4","58.4","41.6","https://www.principality.co.uk/gender-pay-gap-and-women-in-finance","Tracey Edwards (Interim Chief People Officer)","1000 to 4999","Principality Building Society","False","06/10/2021 00:00:00","16/12/2020 13:04:17"
"PRIORY BUSINESS GROUP PLC","Unit 2c Aylesford Commercial Park, Aylesford, Kent, England, ME20 7FE","03505655","82990","29.9","9.8","89.9","62.5","47.4","10.0","50.0","50.0","71.4","28.6","57.1","42.9","85.7","14.3","https://www.priorydirect.co.uk/gender-pay-gap-report-2020","Bob Pitman (CEO & Founder)","Less than 250","PRIORY BUSINESS GROUP PLC","False","06/10/2021 00:00:00","20/01/2021 10:57:57"
"PROGRESS HOUSING ASSOCIATION LIMITED","Sumner House, 21 King Street, Leyland, Lancashire, PR252LW","IP27792R","","11.2","12.0","11.4","	-8.3","5.0","2.3","24.8","75.2","27.3","72.7","54.5","45.5","58.7","41.3","","Mark Ryan (Operations Director, Human Resources and Organisational Development)","250 to 499","PROGRESS HOUSING ASSOCIATION LIMITED","False","06/10/2021 00:00:00","04/02/2021 14:16:08"
"Prospect","8 Leake Street, London, SE1 7NN","","","16.6","26.7","","","0.0","0.0","20.6","79.4","34.9","65.1","48.4","51.6","60.3","39.7","https://library.prospect.org.uk/download/2021/00216","Mike Clancy (General Secretary)","250 to 499","Prospect","False","06/10/2021 00:00:00","01/03/2021 17:47:12"
"PROTO LABS, LIMITED","Proto Labs, Halesfield 8, Telford, Shropshire, TF7 4QN","05366160","22290,
32990","14.5","12.2","15.0","13.4","95.5","95.8","40.0","60.0","72.0","28.0","68.7","31.3","82.0","18.0","https://www.protolabs.co.uk/","Bjoern Klaas (EMEA Vice President & Managing Director)","250 to 499","PROTO LABS, LIMITED","False","06/10/2021 00:00:00","11/02/2021 11:55:05"
"PRS FOR MUSIC LIMITED","2 Pancras Square, London, N1C 4AG","03444246","82990","13.8","20.8","45.9","41.9","70.8","82.9","45","55","50","50","58","42","67","33","https://www.prsformusic.com/-/media/files/prs-for-music/corporate/gender-pay-gap/prs-for-music-gender-pay-gap-2019-2020.ashx?la=en&hash=2778AC9393F2FC3E45AAB8A0CB8A0A54BA7E2AA0","Suzanne Hughes (Chief People & Transformation Officer)","250 to 499","PRS FOR MUSIC LIMITED","False","06/10/2021 00:00:00","23/02/2021 11:52:52"
"Public Health Wales","Capital Quarter, Tyndall Street, Cardiff, CF10 4BZ","","1,
84110","21.9","19.1","","","0.0","0.0","15.0","85.0","23.0","77.0","22.3","77.7","35.0","65.0","https://phw.nhs.wales/publications/","","1000 to 4999","Public Health Wales","False","06/10/2021 00:00:00","03/02/2021 15:22:30"
"R & R.C.BOND (WHOLESALE)LIMITED","1 General Street Pocklington Industrial Estate, Pocklington, York, England, YO42 1NR","01024495","45310","	-6.50","	-7.60","	-26.80","0.00","82.70","80.80","88.20","11.80","91.70","8.30","85.70","14.30","82.10","17.90","","Simon Ewbank (Commercial Director)","250 to 499","R & R.C.BOND (WHOLESALE)LIMITED","False","06/10/2021 00:00:00","21/05/2020 11:05:29"
"RAC MOTORING SERVICES","Rac House, Brockhurst Crescent, Walsall, WS5 4AW","01424399","96090","6.0","11.0","34.0","55.0","95.0","90.0","49.0","51.0","79.0","21.0","91.0","9.0","76.0","24.0","https://www.raccorporate.co.uk/","Rachel Blay (Chief People Officer)","1000 to 4999","RAC MOTORING SERVICES","False","06/10/2021 00:00:00","02/02/2021 11:37:34"
"RAPHA RACING LTD","Imperial Works, 18 Tileyard Road, London, N7 9AH","04849594","47710","20.6","9.4","	-6.5","0.0","4.0","5.0","60.0","40.0","55.0","45.0","53.0","47.0","73.0","27.0","https://rapha.a.bigcontent.io/v1/static/Gender%20Pay%20Gap%20Report_%202019_2022_LIVE","Simon Mottram (CEO & Founder)","250 to 499","RAPHA RACING LTD","False","06/10/2021 00:00:00","29/09/2020 13:58:58"
"RBS INTERNATIONAL","Royal Bank House, 71 Bath Street, St Helier, Jersey, JE4 8PJ","FC034191","","25.3","22.0","47.1","33.2","52.1","39.4","52.9","47.1","35.8","64.2","46.3","53.7","70.1","29.9","https://www.natwestgroup.com/who-we-are/working-at-natwest-group/building-a-more-inclusive-bank.html","Andrew McLaughlin (Chief Executive Officer)","250 to 499","RBS INTERNATIONAL","False","06/10/2021 00:00:00","19/02/2021 11:30:31"
"REAL LIFE OPTIONS","David Wandless House A1 Business Park, Knottingley Road, Knottingley, West Yorkshire, WF11 0BU","02699638","87300,
88100","4","0.4","","","0","0","28","72","28","72","28","72","28","72","","David Sargent (Group Chief Executive Officer)","1000 to 4999","REAL LIFE OPTIONS","False","06/10/2021 00:00:00","04/02/2021 09:33:40"
"Reaseheath College","Main Road, Reaseheath, Nantwich, Cheshire, United Kingdom, CW5 6DF","","1,
85320","14.8","10.0","10.0","19.6","16.6","22.9","28.0","72.0","24.0","76.0","43.0","57.0","49.0","51.0","https://www.reaseheath.ac.uk/wp-content/uploads/2021/02/Gender-Pay-Report-2020-Reaseheath-College-April-2020.pdf","","500 to 999","Reaseheath College","False","06/10/2021 00:00:00","22/02/2021 18:13:12"
"RECROOT LIMITED","First Floor, Crescent House, Angel Hill, Bury St. Edmunds, Suffolk, IP33 1UZ","05230309","78109,
78200,
78300","	-1.7","0.7","68.5","30.2","11.6","15.3","42.3","57.7","65.7","34.3","62","38","59.4","40.6","","Jacob Marrs (Managing Director)","1000 to 4999","RECROOT LIMITED","False","06/10/2021 00:00:00","16/02/2021 08:36:26"
"Redcar & Cleveland Borough Council","Redcar & Cleveland House, Kirkleatham Street, Redcar, Cleveland, United Kingdom, TS10 1RT","","1,
84110","	-3.0","	-7.7","","","0.0","0.0","32.5","67.5","46.4","53.6","29.4","70.6","32.6","67.4","https://www.redcar-cleveland.gov.uk/about-the-council/equality-and-diversity/Documents/Gender%20Pay%20Gap%20March%202020.pdf","","1000 to 4999","Redcar & Cleveland Borough Council","False","06/10/2021 00:00:00","11/02/2021 11:38:05"
